,tconst,movie,runtime_minutes,genres,average_rating,release_date,production_budget,domestic_gross,worldwide_gross,Collections,Profit,release_year,Month,release_month,release_season,release_quarter
2763,tt3501632,thorragnarok,130,"Action,Adventure,Comedy",7.9,2017-11-03,180000000,315058289,846980024,1162038313,982038313,2017,November,11,Fall,Q4
1769,tt1951265,thehungergamesmockingjaypart1,123,"Action,Adventure,Sci-Fi",6.6,2014-11-21,125000000,337135885,766575131,1103711016,978711016,2014,November,11,Fall,Q4
340,tt1170358,thehobbitthedesolationofsmaug,161,"Adventure,Fantasy",7.8,2013-12-13,250000000,258366855,960366855,1218733710,968733710,2013,December,12,winter/holiday,Q4
656,tt1375666,inception,148,"Action,Adventure,Sci-Fi",8.8,2010-07-16,160000000,292576195,835524642,1128100837,968100837,2010,July,7,summer,Q3
508,tt1270797,venom,112,"Action,Sci-Fi,Thriller",6.7,2018-10-05,116000000,213511408,853628605,1067140013,951140013,2018,October,10,Fall,Q4
2261,tt2310332,thehobbitthebattleofthefivearmies,144,"Adventure,Fantasy",7.4,2014-12-17,250000000,255119788,945577621,1200697409,950697409,2014,December,12,winter/holiday,Q4
2570,tt2975590,batmanvsupermandawnofjustice,151,"Action,Adventure,Fantasy",6.5,2016-03-25,250000000,330360194,867500281,1197860475,947860475,2016,March,3,spring,Q1
1307,tt1667889,iceagecontinentaldrift,88,"Adventure,Animation,Comedy",6.6,2012-07-13,95000000,161321843,879765137,1041086980,946086980,2012,July,7,summer,Q3
594,tt1325004,thetwilightsagaeclipse,124,"Adventure,Drama,Fantasy",5.0,2010-06-30,68000000,300531751,706102828,1006634579,938634579,2010,June,6,summer,Q2
1833,tt2015381,guardiansofthegalaxy,121,"Action,Adventure,Comedy",8.1,2014-08-01,170000000,333172112,770867516,1104039628,934039628,2014,August,8,summer,Q3
663,tt1386697,suicidesquad,123,"Action,Adventure,Fantasy",6.0,2016-08-05,175000000,325100054,746059887,1071159941,896159941,2016,August,8,summer,Q3
554,tt1298650,piratesofthecaribbeanonstrangertides,136,"Action,Adventure,Fantasy",6.6,2011-05-20,410600000,241063875,1045663875,1286727750,876127750,2011,May,5,spring,Q2
851,tt1454468,gravity,91,"Drama,Sci-Fi,Thriller",7.7,2013-10-04,110000000,274092705,693698673,967791378,857791378,2013,October,10,Fall,Q4
2628,tt3183660,fantasticbeastsandwheretofindthem,132,"Adventure,Family,Fantasy",7.3,2016-11-18,180000000,234037575,802402853,1036440428,856440428,2016,November,11,Fall,Q4
593,tt1324999,thetwilightsagabreakingdawnpart1,117,"Adventure,Drama,Fantasy",4.9,2011-11-18,127500000,281287133,689420051,970707184,843207184,2011,November,11,Fall,Q4
1975,tt2179136,americansniper,133,"Action,Biography,Drama",7.3,2014-12-25,58000000,350126372,547326372,897452744,839452744,2014,December,12,winter/holiday,Q4
2312,tt2380307,coco,105,"Adventure,Animation,Comedy",8.4,2017-11-22,175000000,209726015,798008101,1007734116,832734116,2017,November,11,Fall,Q4
143,tt0892791,shrekforeverafter,93,"Adventure,Animation,Comedy",6.3,2010-05-21,165000000,238736787,756244673,994981460,829981460,2010,May,5,spring,Q2
2755,tt3470600,sing,108,"Animation,Comedy,Family",7.1,2016-12-21,75000000,270329045,634454789,904783834,829783834,2016,December,12,winter/holiday,Q4
1105,tt1587310,maleficent,97,"Action,Adventure,Family",7.0,2014-05-30,180000000,241407328,758536735,999944063,819944063,2014,May,5,spring,Q2
525,tt1277953,madagascar3europesmostwanted,93,"Adventure,Animation,Comedy",6.8,2012-06-08,145000000,216391482,746921271,963312753,818312753,2012,June,6,summer,Q2
849,tt1453405,monstersuniversity,104,"Adventure,Animation,Comedy",7.3,2013-06-21,200000000,268488329,743588329,1012076658,812076658,2013,June,6,summer,Q2
1631,tt1843866,captainamericathewintersoldier,136,"Action,Adventure,Sci-Fi",7.8,2014-04-04,170000000,259746958,714401889,974148847,804148847,2014,April,4,spring,Q2
157,tt0948470,theamazingspiderman,136,"Action,Adventure,Sci-Fi",7.0,2012-07-03,220000000,262030663,757890267,1019920930,799920930,2012,July,7,summer,Q3
1700,tt1877832,xmendaysoffuturepast,132,"Action,Adventure,Sci-Fi",8.0,2014-05-23,200000000,233921534,747862775,981784309,781784309,2014,May,5,spring,Q2
