,tconst,movie,runtime_minutes,genres,average_rating,release_date,production_budget,domestic_gross,worldwide_gross,Collections,Profit,release_year,Month,release_month,release_season,release_quarter
2604,tt3104988,crazyrichasians,120,"Comedy,Romance",7.0,2018-08-15,30000000,174532921,238099711,412632632,382632632,2018,August,8,summer,Q3
1398,tt1723121,werethemillers,110,"Comedy,Crime",7.0,2013-08-07,37000000,150394119,267816276,418210395,381210395,2013,August,8,summer,Q3
3029,tt4846340,hiddenfigures,127,"Biography,Drama,History",7.8,2016-12-25,25000000,169607287,231771716,401379003,376379003,2016,December,12,winter/holiday,Q4
676,tt1392190,madmaxfuryroad,120,"Action,Adventure,Sci-Fi",8.1,2015-05-15,150000000,153636354,370098020,523734374,373734374,2015,May,5,spring,Q2
1324,tt1679335,trolls,92,"Adventure,Animation,Comedy",6.5,2016-11-04,125000000,153707064,344150134,497857198,372857198,2016,November,11,Fall,Q4
2375,tt2446042,taken3,108,"Action,Thriller",6.0,2015-01-09,48000000,89256424,327656424,416912848,368912848,2015,January,1,winter/holiday,Q1
1555,tt1800241,americanhustle,138,"Crime,Drama",7.2,2013-12-13,40000000,150117807,257878294,407996101,367996101,2013,December,12,winter/holiday,Q4
191,tt0980970,thechroniclesofnarniathevoyageofthedawntreader,113,"Adventure,Family,Fantasy",6.3,2010-12-10,155000000,104386950,418186950,522573900,367573900,2010,December,12,winter/holiday,Q4
608,tt1340138,terminatorgenisys,126,"Action,Adventure,Sci-Fi",6.4,2015-07-01,155000000,89760956,432150894,521911850,366911850,2015,July,7,summer,Q3
2795,tt3606752,cars3,102,"Adventure,Animation,Comedy",6.8,2017-06-16,175000000,152901115,383541369,536442484,361442484,2017,June,6,summer,Q2
2741,tt3416828,iceagecollisioncourse,94,"Adventure,Animation,Comedy",5.7,2016-07-22,105000000,64063008,402156682,466219690,361219690,2016,July,7,summer,Q3
657,tt1375670,grownups,102,Comedy,6.0,2010-06-25,75000000,162001186,272223430,434224616,359224616,2010,June,6,summer,Q2
182,tt0970866,littlefockers,98,"Comedy,Romance",5.5,2010-12-22,100000000,148438600,310650574,459089174,359089174,2010,December,12,winter/holiday,Q4
1101,tt1583421,gijoeretaliation,110,"Action,Adventure,Sci-Fi",5.8,2013-03-27,140000000,122523060,375740705,498263765,358263765,2013,March,3,spring,Q1
850,tt1454029,thehelp,146,Drama,8.1,2011-08-10,25000000,169705587,213120004,382825591,357825591,2011,August,8,summer,Q3
245,tt1045658,silverliningsplaybook,122,"Comedy,Drama,Romance",7.7,2012-11-16,21000000,132092958,236412453,368505411,347505411,2012,November,11,Fall,Q4
312,tt1130884,shutterisland,138,"Mystery,Thriller",8.1,2010-02-19,80000000,128012934,299461782,427474716,347474716,2010,February,2,winter/holiday,Q1
2361,tt2404463,theheat,117,"Action,Comedy,Crime",6.6,2013-06-28,43000000,159581587,229727774,389309361,346309361,2013,June,6,summer,Q2
686,tt1397514,journey2themysteriousisland,94,"Action,Adventure,Comedy",5.8,2012-02-10,79000000,103860290,318146162,422006452,343006452,2012,February,2,winter/holiday,Q1
1627,tt1840309,divergent,139,"Action,Adventure,Mystery",6.7,2014-03-21,85000000,150947895,276014965,426962860,341962860,2014,March,3,spring,Q1
2483,tt2692250,nightatthemuseumsecretofthetomb,98,"Adventure,Comedy,Family",6.2,2014-12-19,127000000,113746621,353756621,467503242,340503242,2014,December,12,winter/holiday,Q4
203,tt1001526,megamind,95,"Action,Animation,Comedy",7.3,2010-11-05,130000000,148415853,321887208,470303061,340303061,2010,November,11,Fall,Q4
687,tt1398426,straightouttacompton,147,"Biography,Drama,History",7.9,2015-08-14,28000000,161197785,202182981,363380766,335380766,2015,August,8,summer,Q3
1265,tt1650062,super8,112,"Mystery,Sci-Fi,Thriller",7.0,2011-06-10,50000000,127004179,257972745,384976924,334976924,2011,June,6,summer,Q2
2678,tt3322940,annabelle,99,"Horror,Mystery,Thriller",5.4,2014-10-03,6500000,84273813,256862920,341136733,334636733,2014,October,10,Fall,Q4
2844,tt3778644,soloastarwarsstory,135,"Action,Adventure,Fantasy",7.0,2018-05-25,275000000,213767512,393151347,606918859,331918859,2018,May,5,spring,Q2
2885,tt4046784,mazerunnerthescorchtrials,131,"Action,Sci-Fi,Thriller",6.3,2015-09-18,61000000,81697192,310566162,392263354,331263354,2015,September,9,Fall,Q3
483,tt1253863,300riseofanempire,102,"Action,Fantasy,War",6.2,2014-03-07,110000000,106580051,330780051,437360102,327360102,2014,March,3,spring,Q1
271,tt1091821,noah,104,Animation,5.6,2014-03-28,130000000,101200044,352831065,454031109,324031109,2014,March,3,spring,Q1
1297,tt1663662,pacificrim,131,"Action,Adventure,Sci-Fi",6.9,2013-07-12,190000000,101802906,411002906,512805812,322805812,2013,July,7,summer,Q3
1207,tt1628841,independencedayresurgence,120,"Action,Adventure,Sci-Fi",5.2,2016-06-24,165000000,103144286,384169424,487313710,322313710,2016,June,6,summer,Q2
192,tt0983193,theadventuresoftintin,107,"Action,Adventure,Animation",7.3,2011-12-21,130000000,77591831,373993951,451585782,321585782,2011,December,12,winter/holiday,Q4
227,tt1024648,argo,120,"Biography,Drama,Thriller",7.7,2012-10-12,44500000,136025503,227140757,363166260,318666260,2012,October,10,Fall,Q4
1731,tt1911658,penguinsofmadagascar,92,"Adventure,Animation,Comedy",6.7,2014-11-26,132000000,83350911,366942531,450293442,318293442,2014,November,11,Fall,Q4
1809,tt1985966,cloudywithachanceofmeatballs2,95,"Adventure,Animation,Comedy",6.4,2013-09-27,78000000,119793567,274392649,394186216,316186216,2013,September,9,Fall,Q3
98,tt0803096,warcraft,123,"Action,Adventure,Fantasy",6.9,2016-06-10,160000000,47225655,425522281,472747936,312747936,2016,June,6,summer,Q2
2471,tt2660888,startrekbeyond,122,"Action,Adventure,Sci-Fi",7.1,2016-07-22,185000000,158848340,335802233,494650573,309650573,2016,July,7,summer,Q3
1836,tt2017020,thesmurfs2,105,"Adventure,Animation,Comedy",5.4,2013-07-31,110000000,71017784,348547523,419565307,309565307,2013,July,7,summer,Q3
1526,tt1778304,paranormalactivity3,83,"Horror,Mystery,Thriller",5.8,2011-10-21,5000000,104028807,207039844,311068651,306068651,2011,October,10,Fall,Q4
614,tt1343092,thegreatgatsby,143,"Drama,Romance",7.3,2013-05-10,190000000,144840419,351040419,495880838,305880838,2013,May,5,spring,Q2
542,tt1293847,xxxreturnofxandercage,107,"Action,Adventure,Thriller",5.2,2017-01-20,85000000,44898413,345033359,389931772,304931772,2017,January,1,winter/holiday,Q1
1909,tt2084970,theimitationgame,114,"Biography,Drama,Thriller",8.0,2014-11-28,15000000,91125143,227740463,318865606,303865606,2014,November,11,Fall,Q4
2648,tt3263904,sully,96,"Biography,Drama",7.5,2016-09-09,60000000,125070033,238524556,363594589,303594589,2016,September,9,Fall,Q3
2607,tt3110958,nowyouseeme2,129,"Action,Adventure,Comedy",6.5,2016-06-10,90000000,65075540,328325007,393400547,303400547,2016,June,6,summer,Q2
2871,tt3890160,babydriver,113,"Action,Crime,Drama",7.6,2017-06-28,34000000,107825862,228104185,335930047,301930047,2017,June,6,summer,Q2
150,tt0938283,thelastairbender,103,"Action,Adventure,Family",4.1,2010-07-01,150000000,131772187,319713881,451486068,301486068,2010,July,7,summer,Q3
2434,tt2592614,residentevilthefinalchapter,107,"Action,Horror,Sci-Fi",5.6,2017-01-27,40000000,26844692,314101190,340945882,300945882,2017,January,1,winter/holiday,Q1
1990,tt2191701,grownups2,101,Comedy,5.4,2013-07-12,80000000,133668525,247023808,380692333,300692333,2013,July,7,summer,Q3
442,tt1232829,21jumpstreet,109,"Action,Comedy,Crime",7.2,2012-03-16,42000000,138447667,202812429,341260096,299260096,2012,March,3,spring,Q1
413,tt1220634,residentevilafterlife,96,"Action,Adventure,Horror",5.9,2010-09-10,57500000,60128566,295874190,356002756,298502756,2010,September,9,Fall,Q3
1505,tt1764651,theexpendables2,103,"Action,Adventure,Thriller",6.6,2012-08-17,100000000,85028192,311979256,397007448,297007448,2012,August,8,summer,Q3
529,tt1284575,badteacher,92,"Comedy,Romance",5.7,2011-06-24,19000000,100292856,215448997,315741853,296741853,2011,June,6,summer,Q2
147,tt0918940,thelegendoftarzan,110,"Action,Adventure,Drama",6.3,2016-07-01,180000000,126643061,348902025,475545086,295545086,2016,July,7,summer,Q3
2281,tt2345759,themummy,110,"Action,Adventure,Fantasy",5.5,2017-06-09,195000000,80101125,409953905,490055030,295055030,2017,June,6,summer,Q2
499,tt1261945,sexandthecity2,146,"Comedy,Drama,Romance",4.4,2010-05-27,95000000,95347692,294680778,390028470,295028470,2010,May,5,spring,Q2
920,tt1499658,horriblebosses,98,"Comedy,Crime",6.9,2011-07-08,35000000,117538559,212417601,329956160,294956160,2011,July,7,summer,Q3
910,tt1489889,centralintelligence,107,"Action,Comedy,Crime",6.3,2016-06-17,50000000,127440871,217194805,344635676,294635676,2016,June,6,summer,Q2
1213,tt1631867,edgeoftomorrow,113,"Action,Sci-Fi",7.9,2014-06-06,178000000,100206256,370541256,470747512,292747512,2014,June,6,summer,Q2
1156,tt1606389,thevow,104,"Drama,Romance",6.8,2012-02-10,30000000,125014030,197618160,322632190,292632190,2012,February,2,winter/holiday,Q1
628,tt1355644,passengers,116,"Drama,Romance,Sci-Fi",7.0,2016-12-21,110000000,100014699,302239672,402254371,292254371,2016,December,12,winter/holiday,Q4
573,tt1320253,theexpendables,103,"Action,Adventure,Thriller",6.5,2010-08-13,82000000,103068524,268268174,371336698,289336698,2010,August,8,summer,Q3
1978,tt2180411,intothewoods,125,"Adventure,Comedy,Drama",6.0,2014-12-25,56200000,128002372,213116401,341118773,284918773,2014,December,12,winter/holiday,Q4
531,tt1285016,thesocialnetwork,120,"Biography,Drama",7.7,2010-10-01,40000000,96962694,224922135,321884829,281884829,2010,October,10,Fall,Q4
2376,tt2452042,thepeanutsmovie,88,"Adventure,Animation,Comedy",7.1,2015-11-06,99000000,130178411,250091610,380270021,281270021,2015,November,11,Fall,Q4
291,tt1109624,paddington,95,"Adventure,Comedy,Family",7.2,2015-01-16,55000000,76223578,258789097,335012675,280012675,2015,January,1,winter/holiday,Q1
1155,tt1606378,agooddaytodiehard,98,"Action,Thriller",5.3,2013-02-14,92000000,67349198,304249198,371598396,279598396,2013,February,2,winter/holiday,Q1
3141,tt6343314,creedii,130,"Drama,Sport",7.2,2018-11-21,50000000,115715889,213591522,329307411,279307411,2018,November,11,Fall,Q4
152,tt0944835,salt,100,"Action,Mystery,Thriller",6.4,2010-07-23,130000000,118311368,290650494,408961862,278961862,2010,July,7,summer,Q3
9,tt0372538,spy,110,"Action,Crime,Drama",6.6,2015-06-05,65000000,110825712,232585748,343411460,278411460,2015,June,6,summer,Q2
1733,tt1915581,magicmike,110,"Comedy,Drama",6.1,2012-06-29,7000000,113721571,170549753,284271324,277271324,2012,June,6,summer,Q2
114,tt0817230,valentinesday,125,"Comedy,Romance",5.7,2010-02-12,52000000,110485654,217569328,328054982,276054982,2010,February,2,winter/holiday,Q1
1840,tt2024432,identitythief,111,"Adventure,Comedy,Crime",5.7,2013-02-08,35000000,134506920,175361578,309868498,274868498,2013,February,2,winter/holiday,Q1
2995,tt4651520,badmoms,100,Comedy,6.2,2016-07-29,20000000,113257297,180998716,294256013,274256013,2016,July,7,summer,Q3
1011,tt1535109,captainphillips,134,"Biography,Drama,Thriller",7.8,2013-10-11,55000000,107136417,220648184,327784601,272784601,2013,October,10,Fall,Q4
125,tt0848537,epic,102,"Adventure,Animation,Family",6.7,2013-05-24,100000000,107518682,262794441,370313123,270313123,2013,May,5,spring,Q2
1799,tt1979388,thegooddinosaur,93,"Adventure,Animation,Comedy",6.7,2015-11-25,187500000,123087120,333771037,456858157,269358157,2015,November,11,Fall,Q4
296,tt1116184,jackass3d,95,"Action,Comedy,Documentary",7.0,2010-10-15,20000000,117229692,171685793,288915485,268915485,2010,October,10,Fall,Q4
357,tt1194173,thebournelegacy,135,"Action,Adventure,Thriller",6.7,2012-08-10,125000000,113203870,280355920,393559790,268559790,2012,August,8,summer,Q3
842,tt1446192,riseoftheguardians,97,"Action,Adventure,Animation",7.3,2012-11-21,145000000,103412758,306900902,410313660,265313660,2012,November,11,Fall,Q4
1841,tt2024469,nonstop,106,"Action,Mystery,Thriller",7.0,2014-02-28,50000000,91742160,222383055,314125215,264125215,2014,February,2,winter/holiday,Q1
2737,tt3411444,ferdinand,108,"Adventure,Animation,Comedy",6.7,2017-12-15,111000000,84410380,289847930,374258310,263258310,2017,December,12,winter/holiday,Q4
710,tt1408253,ridealong,99,"Action,Comedy,Crime",6.2,2014-01-17,25000000,134202565,153733800,287936365,262936365,2014,January,1,winter/holiday,Q1
2961,tt4500922,mazerunnerthedeathcure,143,"Action,Sci-Fi,Thriller",6.2,2018-01-26,61000000,58032443,265878536,323910979,262910979,2018,January,1,winter/holiday,Q1
1020,tt1536044,paranormalactivity2,91,Horror,5.7,2010-10-20,3000000,84752907,177512032,262264939,259264939,2010,October,10,Fall,Q4
1009,tt1535108,elysium,109,"Action,Drama,Sci-Fi",6.6,2013-08-09,120000000,93050117,286192091,379242208,259242208,2013,August,8,summer,Q3
892,tt1483013,oblivion,124,"Action,Adventure,Sci-Fi",7.0,2013-04-19,120000000,89107235,287916633,377023868,257023868,2013,April,4,spring,Q2
2409,tt2543164,arrival,116,"Drama,Mystery,Sci-Fi",7.9,2016-11-11,47000000,100546139,203127894,303674033,256674033,2016,November,11,Fall,Q4
3034,tt4877122,theemojimovie,86,"Adventure,Animation,Comedy",3.2,2017-07-28,50000000,86089513,216562312,302651825,252651825,2017,July,7,summer,Q3
3032,tt4849438,baahubali2theconclusion,167,"Action,Drama",8.3,2017-04-28,30000000,18985794,263502914,282488708,252488708,2017,April,4,spring,Q2
1076,tt1568346,thegirlwiththedragontattoo,158,"Crime,Drama,Mystery",7.8,2011-12-20,90000000,102515793,239373970,341889763,251889763,2011,December,12,winter/holiday,Q4
1130,tt1599348,safehouse,115,"Action,Adventure,Crime",6.8,2012-02-10,85000000,126181630,208542162,334723792,249723792,2012,February,2,winter/holiday,Q1
429,tt1229340,anchorman2thelegendcontinues,119,Comedy,6.3,2013-12-18,50000000,127352707,172185754,299538461,249538461,2013,December,12,winter/holiday,Q4
3116,tt5758778,skyscraper,102,"Action,Adventure,Thriller",5.8,2018-07-13,125000000,68420120,304115534,372535654,247535654,2018,July,7,summer,Q3
435,tt1231583,duedate,95,"Adventure,Comedy",6.5,2010-11-05,65000000,100539043,211739043,312278086,247278086,2010,November,11,Fall,Q4
458,tt1243957,thetourist,103,"Action,Adventure,Thriller",6.0,2010-12-10,100000000,67631157,278731369,346362526,246362526,2010,December,12,winter/holiday,Q4
1214,tt1632705,creed,77,Horror,6.6,2015-11-25,37000000,109767581,173567581,283335162,246335162,2015,November,11,Fall,Q4
3016,tt4765284,pitchperfect3,93,"Comedy,Music",5.8,2017-12-22,45000000,104897530,185736412,290633942,245633942,2017,December,12,winter/holiday,Q4
2568,tt2974918,alvinandthechipmunkstheroadchip,92,"Adventure,Animation,Comedy",5.1,2015-12-18,90000000,85886987,249517956,335404943,245404943,2015,December,12,winter/holiday,Q4
2478,tt2674426,mebeforeyou,106,"Drama,Romance",7.4,2016-06-03,20000000,56245075,208265198,264510273,244510273,2016,June,6,summer,Q2
1144,tt1605630,americanreunion,113,Comedy,6.7,2012-04-06,50000000,56758835,236799211,293558046,243558046,2012,April,4,spring,Q2
635,tt1365519,tombraider,119,"Action,Adventure,Fantasy",6.3,2018-03-16,90000000,58250803,273477501,331728304,241728304,2018,March,3,spring,Q1
2145,tt2226417,insidiouschapter2,106,"Horror,Mystery,Thriller",6.6,2013-09-13,5000000,83586447,161921515,245507962,240507962,2013,September,9,Fall,Q3
3091,tt5580390,theshapeofwater,123,"Adventure,Drama,Fantasy",7.3,2017-12-01,19500000,63859435,195790794,259650229,240150229,2017,December,12,winter/holiday,Q4
41,tt0455944,theequalizer,132,"Action,Crime,Thriller",7.2,2014-09-26,55000000,101530738,192903624,294434362,239434362,2014,September,9,Fall,Q3
22,tt0433035,realsteel,127,"Action,Drama,Family",7.1,2011-10-07,110000000,85463309,263880341,349343650,239343650,2011,October,10,Fall,Q4
1999,tt2203939,theotherwoman,109,"Comedy,Romance",6.0,2014-04-25,40000000,83911193,195111193,279022386,239022386,2014,April,4,spring,Q2
1252,tt1646987,wrathofthetitans,99,"Action,Adventure,Fantasy",5.7,2012-03-30,150000000,83670083,305270083,388940166,238940166,2012,March,3,spring,Q1
235,tt1033575,thedescendants,115,"Comedy,Drama",7.3,2011-11-16,20000000,82624961,175507800,258132761,238132761,2011,November,11,Fall,Q4
1068,tt1564367,justgowithit,117,"Comedy,Romance",6.4,2011-02-11,80000000,103028109,214974953,318003062,238003062,2011,February,2,winter/holiday,Q1
93,tt0790724,jackreacher,130,"Action,Crime,Thriller",7.0,2012-12-21,60000000,80070736,217370736,297441472,237441472,2012,December,12,winter/holiday,Q4
129,tt0864835,mrpeabodysherman,92,"Adventure,Animation,Comedy",6.8,2014-03-07,145000000,111506430,269806430,381312860,236312860,2014,March,3,spring,Q1
1665,tt1860353,turbo,96,"Adventure,Animation,Comedy",6.4,2013-07-17,135000000,83028130,286896578,369924708,234924708,2013,July,7,summer,Q3
270,tt1091191,lonesurvivor,121,"Action,Biography,Drama",7.5,2013-12-25,40000000,125095601,149804632,274900233,234900233,2013,December,12,winter/holiday,Q4
355,tt1192628,rango,107,"Adventure,Animation,Comedy",7.2,2011-03-04,135000000,123477607,245724600,369202207,234202207,2011,March,3,spring,Q1
717,tt1411704,hop,95,"Adventure,Animation,Comedy",5.4,2011-04-01,63000000,108085305,188657593,296742898,233742898,2011,April,4,spring,Q2
2299,tt2361509,theintern,121,"Comedy,Drama",7.1,2015-09-25,40000000,75764672,197115710,272880382,232880382,2015,September,9,Fall,Q3
1937,tt2120120,pixels,105,"Action,Comedy,Sci-Fi",5.6,2015-07-24,90000000,78765986,244041804,322807790,232807790,2015,July,7,summer,Q3
2440,tt2637276,ted2,115,Comedy,6.3,2015-06-26,68000000,81476385,217214143,298690528,230690528,2015,June,6,summer,Q2
1849,tt2034800,thegreatwall,103,"Action,Adventure,Fantasy",6.0,2017-02-17,150000000,45157105,334486852,379643957,229643957,2017,February,2,winter/holiday,Q1
2785,tt3564472,girlstrip,122,"Comedy,Drama",6.2,2017-07-21,28000000,115108515,140886353,255994868,227994868,2017,July,7,summer,Q3
133,tt0879870,eatpraylove,133,"Drama,Romance",5.8,2010-08-13,60000000,80574010,206598789,287172799,227172799,2010,August,8,summer,Q3
407,tt1217613,battlelosangeles,116,"Action,Sci-Fi",5.8,2011-03-11,70000000,83552429,213463976,297016405,227016405,2011,March,3,spring,Q1
463,tt1245526,red,111,"Action,Comedy,Crime",7.1,2010-10-15,60000000,90380162,196439693,286819855,226819855,2010,October,10,Fall,Q4
3114,tt5726086,insidiousthelastkey,103,"Horror,Mystery,Thriller",5.7,2018-01-05,10000000,67745330,167885588,235630918,225630918,2018,January,1,winter/holiday,Q1
556,tt1302067,yogibear,80,"Adventure,Animation,Comedy",4.6,2010-12-17,80000000,100246011,204774690,305020701,225020701,2010,December,12,winter/holiday,Q4
1876,tt2069955,themule,96,"Crime,Drama,Mystery",4.3,2018-12-14,50000000,103804407,170857676,274662083,224662083,2018,December,12,winter/holiday,Q4
1726,tt1907668,flight,138,"Drama,Thriller",7.3,2012-11-02,31000000,93772375,160558438,254330813,223330813,2012,November,11,Fall,Q4
2978,tt4575576,christopherrobin,104,"Adventure,Animation,Comedy",7.3,2018-08-03,75000000,99215042,197504758,296719800,221719800,2018,August,8,summer,Q3
742,tt1428538,hanselgretelwitchhunters,88,"Action,Fantasy,Horror",6.1,2013-01-25,50000000,55703475,214949716,270653191,220653191,2013,January,1,winter/holiday,Q1
484,tt1253864,immortals,110,"Action,Drama,Fantasy",6.0,2011-11-11,75000000,83504017,211562435,295066452,220066452,2011,November,11,Fall,Q4
1364,tt1700841,sausageparty,89,"Adventure,Animation,Comedy",6.2,2016-08-12,19000000,97670358,141344255,239014613,220014613,2016,August,8,summer,Q3
208,tt1013743,knightandday,109,"Action,Adventure,Comedy",6.3,2010-06-23,117000000,76423035,258751370,335174405,218174405,2010,June,6,summer,Q2
1659,tt1855325,residentevilretribution,95,"Action,Horror,Sci-Fi",5.4,2012-09-14,65000000,42345531,240647629,282993160,217993160,2012,September,9,Fall,Q3
159,tt0955308,robinhood,140,"Action,Adventure,Drama",6.6,2010-05-14,210000000,105487148,322459006,427946154,217946154,2010,May,5,spring,Q2
199,tt0990407,thegreenhornet,119,"Action,Comedy,Crime",5.8,2011-01-14,110000000,98780042,229155503,327935545,217935545,2011,January,1,winter/holiday,Q1
1844,tt2024544,12yearsaslave,134,"Biography,Drama,History",8.1,2013-10-18,20000000,56671993,181025343,237697336,217697336,2013,October,10,Fall,Q4
3132,tt6182908,smallfoot,96,"Adventure,Animation,Comedy",6.7,2018-09-28,80000000,83240103,213691277,296931380,216931380,2018,September,9,Fall,Q3
103,tt0814255,percyjacksontheolympiansthelightningthief,118,"Adventure,Family,Fantasy",5.9,2010-02-12,95000000,88768303,223050874,311819177,216819177,2010,February,2,winter/holiday,Q1
2617,tt3152624,trainwreck,125,"Comedy,Drama,Romance",6.2,2015-07-17,35000000,110212700,141123897,251336597,216336597,2015,July,7,summer,Q3
2491,tt2713180,fury,134,"Action,Drama,War",7.6,2014-10-17,80000000,85817906,210315681,296133587,216133587,2014,October,10,Fall,Q4
502,tt1267297,hercules,98,"Action,Adventure,Fantasy",6.0,2014-07-25,100000000,72688614,243388614,316077228,216077228,2014,July,7,summer,Q3
2264,tt2316204,aliencovenant,122,"Horror,Sci-Fi,Thriller",6.4,2017-05-19,97000000,74262031,238521247,312783278,215783278,2017,May,5,spring,Q2
2840,tt3766354,theequalizer2,121,"Action,Crime,Thriller",6.7,2018-07-20,77000000,102084362,190453132,292537494,215537494,2018,July,7,summer,Q3
1574,tt1809398,unbroken,137,"Biography,Drama,Sport",7.2,2014-12-25,65000000,115637895,163527824,279165719,214165719,2014,December,12,winter/holiday,Q4
534,tt1289401,ghostbusters,116,"Action,Comedy,Fantasy",5.2,2016-07-15,144000000,128350574,229008658,357359232,213359232,2016,July,7,summer,Q3
178,tt0964517,thefighter,116,"Biography,Drama,Sport",7.8,2010-12-10,11000000,93617009,129262388,222879397,211879397,2010,December,12,winter/holiday,Q4
3135,tt6294822,thepost,116,"Biography,Drama,History",7.2,2017-12-22,50000000,81903458,179748880,261652338,211652338,2017,December,12,winter/holiday,Q4
265,tt1085448,lightsout,104,Drama,6.6,2016-07-22,5000000,67268835,148806510,216075345,211075345,2016,July,7,summer,Q3
408,tt1219289,limitless,105,"Mystery,Sci-Fi,Thriller",7.4,2011-03-18,27000000,79249455,155564919,234814374,207814374,2011,March,3,spring,Q1
120,tt0840361,thetown,125,"Crime,Drama,Thriller",7.6,2010-09-17,37000000,92186262,152566881,244753143,207753143,2010,September,9,Fall,Q3
524,tt1276104,looper,113,"Action,Crime,Drama",7.4,2012-09-28,30000000,66486205,170466405,236952610,206952610,2012,September,9,Fall,Q3
116,tt0829150,draculauntold,92,"Action,Drama,Fantasy",6.3,2014-10-10,70000000,55991880,220241723,276233603,206233603,2014,October,10,Fall,Q4
1560,tt1805319,mama,50,Drama,4.5,2013-01-18,15000000,71628180,148095566,219723746,204723746,2013,January,1,winter/holiday,Q1
2323,tt2387589,thegirlonthetrain,80,Thriller,4.4,2016-10-07,45000000,75395035,174278214,249673249,204673249,2016,October,10,Fall,Q4
365,tt1204342,themuppets,103,"Adventure,Comedy,Family",7.1,2011-11-23,45000000,88625922,160971922,249597844,204597844,2011,November,11,Fall,Q4
1914,tt2096672,dumbanddumberto,109,"Adventure,Comedy",5.6,2014-11-14,40000000,86208010,156553592,242761602,202761602,2014,November,11,Fall,Q4
3053,tt5027774,threebillboardsoutsideebbingmissouri,115,"Crime,Drama",8.2,2017-11-10,12000000,54513740,160191915,214705655,202705655,2017,November,11,Fall,Q4
2245,tt2302755,olympushasfallen,119,"Action,Thriller",6.5,2013-03-22,70000000,98927592,172878928,271806520,201806520,2013,March,3,spring,Q1
2492,tt2719848,everest,121,"Action,Adventure,Biography",7.1,2015-09-18,65000000,43482270,221297061,264779331,199779331,2015,September,9,Fall,Q3
1954,tt2140479,theaccountant,128,"Action,Crime,Drama",7.3,2016-10-14,40000000,86260045,152962083,239222128,199222128,2016,October,10,Fall,Q4
2663,tt3300542,londonhasfallen,99,"Action,Thriller",5.9,2016-03-04,60000000,62524260,195194085,257718345,197718345,2016,March,3,spring,Q1
194,tt0989757,dearjohn,108,"Drama,Romance,War",6.3,2010-02-05,25000000,80014842,142033509,222048351,197048351,2010,February,2,winter/holiday,Q1
1934,tt2119532,hacksawridge,139,"Biography,Drama,History",8.1,2016-11-04,40000000,67209615,168904682,236114297,196114297,2016,November,11,Fall,Q4
462,tt1245492,thisistheend,107,"Comedy,Fantasy",6.6,2013-06-12,32000000,101470202,126539117,228009319,196009319,2013,June,6,summer,Q2
526,tt1279935,datenight,88,"Comedy,Crime,Romance",6.3,2010-04-09,55000000,98711404,152269033,250980437,195980437,2010,April,4,spring,Q2
2416,tt2557478,pacificrimuprising,111,"Action,Adventure,Sci-Fi",5.6,2018-03-23,155000000,59874525,290930148,350804673,195804673,2018,March,3,spring,Q1
713,tt1411238,nostringsattached,108,"Comedy,Romance",6.2,2011-01-21,25000000,70662220,149228078,219890298,194890298,2011,January,1,winter/holiday,Q1
2813,tt3682448,bridgeofspies,142,"Drama,History,Thriller",7.6,2015-10-16,40000000,72313754,162498338,234812092,194812092,2015,October,10,Fall,Q4
1000,tt1528100,exodusgodsandkings,150,"Action,Adventure,Drama",6.0,2014-12-12,140000000,65014513,268314513,333329026,193329026,2014,December,12,winter/holiday,Q4
3129,tt6133466,thefirstpurge,98,"Action,Horror,Sci-Fi",5.1,2018-07-04,13000000,69488745,136617305,206106050,193106050,2018,July,7,summer,Q3
1192,tt1621045,thinklikeaman,122,"Comedy,Romance",6.6,2012-04-20,12000000,91547205,113373764,204920969,192920969,2012,April,4,spring,Q2
2876,tt3949660,teenagemutantninjaturtlesoutoftheshadows,112,"Action,Adventure,Comedy",6.0,2016-06-03,135000000,82051601,245328374,327379975,192379975,2016,June,6,summer,Q2
2226,tt2278388,thegrandbudapesthotel,99,"Adventure,Comedy,Crime",8.1,2014-03-07,31000000,59076019,163981261,223057280,192057280,2014,March,3,spring,Q1
1927,tt2109184,paranormalactivity4,88,"Horror,Mystery,Thriller",4.6,2012-10-19,5000000,53900335,142817992,196718327,191718327,2012,October,10,Fall,Q4
662,tt1386588,theotherguys,107,"Action,Comedy,Crime",6.7,2010-08-06,100000000,119219978,170936470,290156448,190156448,2010,August,8,summer,Q3
1810,tt1987680,theupside,126,"Comedy,Drama",6.7,2019-01-11,37500000,108235497,119024536,227260033,189760033,2019,January,1,winter/holiday,Q1
1154,tt1605783,midnightinparis,94,"Comedy,Fantasy,Romance",7.7,2011-05-20,30000000,56816662,162502774,219319436,189319436,2011,May,5,spring,Q2
2831,tt3741834,lion,118,"Biography,Drama",8.1,2016-11-25,12000000,51739495,149570720,201310215,189310215,2016,November,11,Fall,Q4
2903,tt4094724,thepurgeelectionyear,108,"Action,Horror,Sci-Fi",6.0,2016-07-01,10000000,79042440,118514727,197557167,187557167,2016,July,7,summer,Q3
2986,tt4624424,storks,87,"Adventure,Animation,Comedy",6.8,2016-09-23,70000000,72679278,183353431,256032709,186032709,2016,September,9,Fall,Q3
2420,tt2567026,alicethroughthelookingglass,113,"Adventure,Family,Fantasy",6.2,2016-05-27,170000000,77042381,276928112,353970493,183970493,2016,May,5,spring,Q2
