movie,release_date,production_budget,domestic_gross,worldwide_gross
iron man 2,2010-05-07,170000000,312433331,621156389
captain america: the winter soldier,2014-04-04,170000000,259746958,714401889
dawn of the planet of the apes,2014-07-11,170000000,208545589,710644566
the polar express,2004-11-10,170000000,187224605,311365187
snow white and the huntsman,2012-06-01,170000000,155136755,401021746
terminator 3: rise of the machines,2003-07-01,170000000,150358296,433058296
van helsing,2004-05-07,170000000,120150546,300150546
dumbo,2019-03-29,170000000,113883318,345004422
tomorrowland,2015-05-22,170000000,93436322,206627518
alita: battle angel,2019-02-14,170000000,85710210,402976036
godzilla: king of the monsters,2019-05-31,170000000,85576941,299276941
alice through the looking glass,2016-05-27,170000000,77042381,276928112
shrek forever after,2010-05-21,165000000,238736787,756244673
doctor strange,2016-11-04,165000000,232641920,676404566
big hero 6,2014-11-07,165000000,222527828,652127828
how to train your dragon,2010-03-26,165000000,217581232,494870992
wreck-it ralph,2012-11-02,165000000,189412677,496511521
interstellar,2014-11-05,165000000,188017894,666379375
independence day: resurgence,2016-06-24,165000000,103144286,384169424
cowboys and aliens,2011-07-29,163000000,100368560,176038324
beauty and the beast,2017-03-17,160000000,504014165,1259199706
aquaman,2018-12-21,160000000,335061807,1146894640
shrek the third,2007-05-17,160000000,322719944,807330936
inception,2010-07-16,160000000,292576195,835524642
the hunger games: mockingjay - part 2,2015-11-20,160000000,281723902,648986787
fast and furious 6,2013-05-24,160000000,238679850,789300444
godzilla,2014-05-16,160000000,200676069,529076069
x-men: first class,2011-06-03,160000000,146408305,355408305
the curious case of benjamin button,2008-12-25,160000000,127509326,329631958
the sorcerer's apprentice,2010-07-14,160000000,63150991,217986320
poseidon,2006-05-12,160000000,60674817,181674817
warcraft,2016-06-10,160000000,47225655,425522281
deepwater horizon,2016-09-30,156000000,61433527,122603824
the chronicles of narnia: the voyage of the dawn treader,2010-12-10,155000000,104386950,418186950
terminator: genisys,2015-07-01,155000000,89760956,432150894
pacific rim: uprising,2018-03-23,155000000,59874525,290930148
alexander,2004-11-24,155000000,34297191,167297191
war for the planet of the apes,2017-07-14,152000000,146880162,489592267
pearl harbor,2001-05-25,151500000,198539855,449239855
transformers,2007-07-02,151000000,319246193,708272592
wonder woman,2017-06-02,150000000,412563408,821133378
frozen,2013-11-22,150000000,400738009,1272469910
zootopia,2016-03-04,150000000,341268248,1019429616
